url,公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接,公司地址,招标数量,招标总金额,供应商数量
浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同公告,中标,合同,浙江工商职业技术学院三维数字化技术虚拟仿真（VR）模具拆装系统项目（重发）的合同公告,,NBJX2022087G-1,"三维数字化技术虚拟仿真VR模具拆装系统项目,VR眼镜套装,智慧一体机,虚拟现实教学平台,VR虚拟现实设备,中央空调,可上下自动调节讲台,模具拆卸与组装仿真软件",789900.0,浙江工商职业技术学院,学校,采购人-13600621355,宁波建兴招标有限公司,,宁波拓固信息科技有限公司 ,"中标人     13586538080 ,中标人     13008920031 ,中标人     13819811958 ",789900.0,2022-09-20,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361793732/b2,地址宁波市江北区同济路199号3-3-13室,25 次,875.79 万,5 家
宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同,中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同,,,虚拟仿真基地管理及资源共享平台采购与安装项目,0.0,宁波第二技师学院,学校,,,,厦门凤凰创壹软件有限公司 ,"中标人     18850181570 ,中标人     15605558805 ,中标人     15679210505 ,中标人     15396258728 ,中标人     13779952446 ",0.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361800980/b2,地址厦门市软件园二期观日路26号508单元,202 次,1.92 亿,122 家
宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同公告,中标,合同,宁波第二技师学院国家级示范性虚拟仿真基地管理及资源共享平台采购与安装项目（第二次）的合同公告,,CBNB-20223237G磋,虚拟仿真基地管理及资源共享平台采购与安装项目,899500.0,宁波第二技师学院,学校,杜**-0574-87459959,宁波中基国际招标有限公司,,厦门凤凰创壹软件有限公司 ,"中标人     18850181570 ,中标人     15605558805 ,中标人     15679210505 ,中标人     15396258728 ,中标人     13779952446 ",899500.0,2022-09-19,浙江,宁波,,,,https://www.zhiliaobiaoxun.com/content/361736724/b2,地址厦门市软件园二期观日路26号508单元,202 次,1.92 亿,122 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,济南英泰安视信息技术有限公司 ,"中标人     18563703538 ,中标人     15614660631 ,辛**     18678390686 ,李**     13964088197 ,王**     15553124503 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址济南市历城区山大南路东首（15-7号）华森职工住宅楼2单元201室,127 次,1.01 亿,51 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,山东世和润安信息技术有限公司 ,"中标人     18668973938 ,中标人     18354196838 ,王*     13884668605 ,陈*     13606415159 ,石**     18505411766 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址山东省济南市槐荫区齐州路绿地缤纷城2楼213室,105 次,"6,084.02 万",44 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,南京浩伟智能科技有限公司 ,"中标人     025-86111066 ,林**     18994117789 ,钱*     13327818981 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址南京市麒麟科技创新园（生态科技城）东麒路666号,37 次,"3,649.41 万",16 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,浙江安正科技股份有限公司 ,"中标人     0571-87245751 ,中标人     18868876969 ,刘**     13466636998 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省杭州市上城区婺江路217号2号楼8层823室,59 次,"4,578.91 万",33 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,江苏一鼎堂软件科技有限公司 ,"中标人     18072883089 ,中标人     18667122369 ,闵**     13506763566 ,闵**     025-52171471 ,林**     13282199206 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址南京市建邺区茶亭东街79号2-1-22，2-1-23,106 次,"3,367.78 万",52 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,嘉兴元齐软件科技有限公司 ,"中标人     13867394636 ,中标人     15068350260 ,中标人     0573-82617159 ,吴**     0573-82685080 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省嘉兴市经济技术开发区金穗路135号1幢801-2室,29 次,624.38 万,16 家
浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,中标,中标结果,浙江豪圣建设项目管理有限公司关于浙江警察学院虚拟仿真平台及应用模块建设项目的中标(成交)结果公告,,HSZB-2022-297,"虚拟仿真平台及应用模块建设项目,虚拟仿真实验教学平台及课程建设项目,犯罪现场勘查虚拟仿真实训项目,犯罪嫌疑人特征刻画虚拟仿真实训项目",0.0,浙江警察学院,学校,杨**-0571-87787281,浙江豪圣建设项目管理有限公司,曹**-0571-87981527,浙江通鹏智能科技有限公司 ,"中标人     13858024256 ,中标人     18957159182 ,中标人     0571-89712590 ",0.0,2022-09-15,浙江,杭州,,,,https://www.zhiliaobiaoxun.com/content/361025353/b2,地址浙江省杭州市余杭区余杭街道文一西路1818-1号5G创新园1-327.332.334,25 次,"2,331.94 万",10 家
