公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,合同,关于虚拟仿真实训平台的政府采购合同,,LHZX2022-Y-T-002-001,"虚拟仿真实训平台,虚拟仿真资源平台服务端",498000.0,苏州工业园区工业技术学校,学校,陆**-15952425332,,,安徽灵敏信息技术有限公司,中标人-17730018098,498000.0,2022-09-20,江苏,苏州,,,,https://www.zhiliaobiaoxun.com/content/361880666/b2
中标,合同,ZYJS-ZC2022042江苏理工学院虚拟仿真实验教学课程开发定制建设项目合同合同公示,,ZYJS-ZC2022042,虚拟仿真实验教学课程开发定制建设项目,674000.0,江苏理工学院,学校,采购人-0519-86953157,,,南京恒点信息技术有限公司,中标人-15366054932,674000.0,2022-09-20,江苏,常州,,,,https://www.zhiliaobiaoxun.com/content/361851165/b2
中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院智能联合收割机虚拟仿真实训系统采购及相关服务,,JSNL2022 112,智能联合收割机虚拟仿真实训系统采购及相关服务,198800.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,金**-15195817565",,,江苏农仿软件科技有限公司,,198800.0,2022-09-20,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/361853667/b2
中标,中标结果,中国药科大学氢化肉桂酸的制备虚拟仿真教学系统项目自行采购项目结果公告(2022-ZXCG-0410),,2022-ZXCG-0410,氢化肉桂酸的制备虚拟仿真教学系统项目,99000.0,中国药科大学,学校,,,,南京药育智能科技有限公司,薛*-18625188710,99000.0,2022-09-19,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/361782495/b2
中标,中标结果,中标（成交）结果公示：江苏农林职业技术学院水稻形态结构与功能特性虚拟仿真实训系统 + 智慧水稻种植管理虚拟仿真系统采购及相关服务,,JSNL2022 114,"水稻形态结构与功能特性虚拟仿真实训系统,智慧水稻种植管理虚拟仿真系统采购及相关服务",368000.0,江苏农林职业技术学院,学校,"采购人-0511-87290893,殷**-13915902557",,,上海冠朋数字科技有限公司,,368000.0,2022-09-16,江苏,镇江,,,,https://www.zhiliaobiaoxun.com/content/361349510/b2
中标,合同,5G基站建设与维护虚拟仿真实训系统的合同,,20220725144917,5G基站建设与维护虚拟仿真实训系统,772000.0,无锡科技职业学院,学校,采购人-0000-0000000,,,南京中兴信雅达信息科技有限公司,中标人-15365000842,772000.0,2022-09-16,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/361321841/b2
中标,合同,5G基站建设与维护虚拟仿真实训系统的合同公告,,WXDSCG2022-13,5G基站建设与维护虚拟仿真实训系统,0.0,无锡科技职业学院,学校,采购人-0510-85342095,,,"无锡东盛工程管理咨询有限公司
南京中兴信雅达信息科技有限公司","周**-13093086352,中标人-15365000842","0.0
772000.0",2022-09-16,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/361304921/b2
中标,中标结果,南京师范大学海滩养护虚拟仿真项目-结果公告,,NJJC-2022ZFCG0813（S）,"海滩养护虚拟仿真项目,海滩养护虚拟仿真实验系统",238000.0,南京师范大学,学校,任**-025-85891587,南京江城工程项目管理有限公司,郑*-025-58835827-8033,南京先极科技有限公司,,238000.0,2022-09-15,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/361021375/b2
中标,中标结果,中国药科大学教学虚拟仿真与模拟药房的HIS系统关联项目自行采购项目结果公告(2022-ZXCG-0407),,2022-ZXCG-0407,虚拟仿真与模拟药房的HIS系统关联项目,70000.0,中国药科大学,学校,,,,江苏嘉纳宝医疗科技有限公司,吴*-13851493370,70000.0,2022-09-15,江苏,,,,,https://www.zhiliaobiaoxun.com/content/361196772/b2
中标,中标结果,中国药科大学糖尿病药物治疗管理虚拟仿真平台（第二期）项目自行采购项目结果公告(2022-ZXCG-0408),,2022-ZXCG-0408,糖尿病药物治疗管理虚拟仿真平台,180000.0,中国药科大学,学校,,,,江苏嘉纳宝医疗科技有限公司,吴*-13851493370,180000.0,2022-09-15,江苏,,,,,https://www.zhiliaobiaoxun.com/content/361196550/b2
